datetime,bwfl_id,dma_id,wwmd_id,data_type,min,mean,max
2022-04-08 11:45:00,BW9_1,2005.0,2302.0,chlorine,0.58,0.59,0.6
2022-04-08 12:00:00,BW9_1,2005.0,2302.0,chlorine,0.6,0.61,0.63
2022-04-08 12:15:00,BW9_1,2005.0,2302.0,chlorine,0.59,0.6,0.62
2022-04-08 12:30:00,BW9_1,2005.0,2302.0,chlorine,0.63,0.64,0.65
2022-04-08 12:45:00,BW9_1,2005.0,2302.0,chlorine,0.66,0.66,0.67
2022-04-08 13:00:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 13:15:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 13:30:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 13:45:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 14:00:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 14:15:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 14:30:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 14:45:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.68
2022-04-08 15:00:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.68
2022-04-08 15:15:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-08 15:30:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.68
2022-04-08 15:45:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.68,0.68
2022-04-08 16:00:00,BW9_1,2005.0,2302.0,chlorine,0.65,0.68,0.6900000000000001
2022-04-08 16:15:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-08 16:30:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-08 16:45:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.68,0.6900000000000001
2022-04-08 17:00:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.68,0.68
2022-04-08 17:15:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.68,0.68
2022-04-08 17:30:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.68,0.6900000000000001
2022-04-08 17:45:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.6900000000000001,0.6900000000000001
2022-04-08 18:00:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.6900000000000001,0.6900000000000001
2022-04-08 18:15:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-08 18:30:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.7000000000000001,0.7000000000000001
2022-04-08 18:45:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-08 19:00:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.7000000000000001,0.7000000000000001
2022-04-08 19:15:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-08 19:30:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-08 19:45:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-08 20:00:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.72,0.72
2022-04-08 20:15:00,BW9_1,2005.0,2302.0,chlorine,0.6,0.65,0.72
2022-04-08 20:30:00,BW9_1,2005.0,2302.0,chlorine,0.59,0.6,0.62
2022-04-08 20:45:00,BW9_1,2005.0,2302.0,chlorine,0.6,0.61,0.63
2022-04-08 21:00:00,BW9_1,2005.0,2302.0,chlorine,0.59,0.61,0.62
2022-04-08 21:15:00,BW9_1,2005.0,2302.0,chlorine,0.6,0.62,0.65
2022-04-08 21:30:00,BW9_1,2005.0,2302.0,chlorine,0.64,0.66,0.67
2022-04-08 21:45:00,BW9_1,2005.0,2302.0,chlorine,0.65,0.67,0.68
2022-04-08 22:00:00,BW9_1,2005.0,2302.0,chlorine,0.65,0.66,0.67
2022-04-08 22:15:00,BW9_1,2005.0,2302.0,chlorine,0.65,0.66,0.67
2022-04-08 22:30:00,BW9_1,2005.0,2302.0,chlorine,0.63,0.64,0.66
2022-04-08 22:45:00,BW9_1,2005.0,2302.0,chlorine,0.64,0.66,0.68
2022-04-08 23:00:00,BW9_1,2005.0,2302.0,chlorine,0.63,0.65,0.67
2022-04-08 23:15:00,BW9_1,2005.0,2302.0,chlorine,0.56,0.58,0.63
2022-04-08 23:30:00,BW9_1,2005.0,2302.0,chlorine,0.56,0.56,0.5700000000000001
2022-04-08 23:45:00,BW9_1,2005.0,2302.0,chlorine,0.53,0.54,0.56
2022-04-09 00:00:00,BW9_1,2005.0,2302.0,chlorine,0.53,0.56,0.59
2022-04-09 00:15:00,BW9_1,2005.0,2302.0,chlorine,0.59,0.6,0.61
2022-04-09 00:30:00,BW9_1,2005.0,2302.0,chlorine,0.61,0.61,0.61
2022-04-09 00:45:00,BW9_1,2005.0,2302.0,chlorine,0.61,0.61,0.62
2022-04-09 01:00:00,BW9_1,2005.0,2302.0,chlorine,0.59,0.61,0.62
2022-04-09 01:15:00,BW9_1,2005.0,2302.0,chlorine,0.53,0.5700000000000001,0.59
2022-04-09 01:30:00,BW9_1,2005.0,2302.0,chlorine,0.51,0.51,0.53
2022-04-09 01:45:00,BW9_1,2005.0,2302.0,chlorine,0.51,0.52,0.53
2022-04-09 02:00:00,BW9_1,2005.0,2302.0,chlorine,0.53,0.54,0.55
2022-04-09 02:15:00,BW9_1,2005.0,2302.0,chlorine,0.55,0.56,0.5700000000000001
2022-04-09 02:30:00,BW9_1,2005.0,2302.0,chlorine,0.56,0.5700000000000001,0.5700000000000001
2022-04-09 02:45:00,BW9_1,2005.0,2302.0,chlorine,0.53,0.55,0.5700000000000001
2022-04-09 03:00:00,BW9_1,2005.0,2302.0,chlorine,0.5,0.52,0.53
2022-04-09 03:15:00,BW9_1,2005.0,2302.0,chlorine,0.49,0.49,0.5
2022-04-09 03:30:00,BW9_1,2005.0,2302.0,chlorine,0.48,0.48,0.49
2022-04-09 03:45:00,BW9_1,2005.0,2302.0,chlorine,0.48,0.48,0.49
2022-04-09 04:00:00,BW9_1,2005.0,2302.0,chlorine,0.48,0.48,0.48
2022-04-09 04:15:00,BW9_1,2005.0,2302.0,chlorine,0.48,0.48,0.49
2022-04-09 04:30:00,BW9_1,2005.0,2302.0,chlorine,0.49,0.54,0.6
2022-04-09 04:45:00,BW9_1,2005.0,2302.0,chlorine,0.62,0.65,0.67
2022-04-09 05:00:00,BW9_1,2005.0,2302.0,chlorine,0.66,0.67,0.67
2022-04-09 05:15:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-09 05:30:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-09 05:45:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-09 06:00:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-09 06:15:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.67
2022-04-09 06:30:00,BW9_1,2005.0,2302.0,chlorine,0.66,0.67,0.67
2022-04-09 06:45:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.67,0.68
2022-04-09 07:00:00,BW9_1,2005.0,2302.0,chlorine,0.66,0.68,0.6900000000000001
2022-04-09 07:15:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.7000000000000001
2022-04-09 07:30:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 07:45:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-09 08:00:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-09 08:15:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.72
2022-04-09 08:30:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-09 08:45:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.72
2022-04-09 09:00:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-09 09:15:00,BW9_1,2005.0,2302.0,chlorine,0.51,0.63,0.71
2022-04-09 09:30:00,BW9_1,2005.0,2302.0,chlorine,0.49,0.49,0.5
2022-04-09 09:45:00,BW9_1,2005.0,2302.0,chlorine,0.5,0.5,0.51
2022-04-09 10:00:00,BW9_1,2005.0,2302.0,chlorine,0.5,0.51,0.51
2022-04-09 10:15:00,BW9_1,2005.0,2302.0,chlorine,0.5,0.5,0.51
2022-04-09 10:30:00,BW9_1,2005.0,2302.0,chlorine,0.49,0.5,0.5
2022-04-09 10:45:00,BW9_1,2005.0,2302.0,chlorine,0.49,0.55,0.61
2022-04-09 11:00:00,BW9_1,2005.0,2302.0,chlorine,0.61,0.62,0.64
2022-04-09 11:15:00,BW9_1,2005.0,2302.0,chlorine,0.64,0.65,0.66
2022-04-09 11:30:00,BW9_1,2005.0,2302.0,chlorine,0.65,0.66,0.67
2022-04-09 11:45:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.68,0.6900000000000001
2022-04-09 12:00:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.68,0.6900000000000001
2022-04-09 12:15:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 12:30:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 12:45:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.71
2022-04-09 13:00:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-09 13:15:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-09 13:30:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 13:45:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.71
2022-04-09 14:00:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-09 14:15:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.71
2022-04-09 14:30:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.71
2022-04-09 14:45:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 15:00:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 15:15:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 15:30:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.7000000000000001
2022-04-09 15:45:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-09 16:00:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.68,0.6900000000000001
2022-04-09 16:15:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.68,0.6900000000000001
2022-04-09 16:30:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.6900000000000001,0.6900000000000001
2022-04-09 16:45:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-09 17:00:00,BW9_1,2005.0,2302.0,chlorine,0.68,0.6900000000000001,0.6900000000000001
2022-04-09 17:15:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-09 17:30:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-09 17:45:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.6900000000000001
2022-04-09 18:00:00,BW9_1,2005.0,2302.0,chlorine,0.6900000000000001,0.6900000000000001,0.7000000000000001
2022-04-09 18:15:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 18:30:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.7000000000000001,0.7000000000000001
2022-04-09 18:45:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.71
2022-04-09 19:00:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-09 19:15:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-09 19:30:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-09 19:45:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.72
2022-04-09 20:00:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.72,0.72
2022-04-09 20:15:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.72,0.72
2022-04-09 20:30:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.72
2022-04-09 20:45:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.72
2022-04-09 21:00:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.72
2022-04-09 21:15:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.72,0.72
2022-04-09 21:30:00,BW9_1,2005.0,2302.0,chlorine,0.7000000000000001,0.71,0.72
2022-04-09 21:45:00,BW9_1,2005.0,2302.0,chlorine,0.61,0.65,0.7000000000000001
2022-04-09 22:00:00,BW9_1,2005.0,2302.0,chlorine,0.58,0.59,0.59
2022-04-09 22:15:00,BW9_1,2005.0,2302.0,chlorine,0.59,0.63,0.66
2022-04-09 22:30:00,BW9_1,2005.0,2302.0,chlorine,0.63,0.64,0.66
2022-04-09 22:45:00,BW9_1,2005.0,2302.0,chlorine,0.67,0.7000000000000001,0.71
2022-04-09 23:00:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-09 23:15:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-09 23:30:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-09 23:45:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-10 00:00:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
2022-04-10 00:15:00,BW9_1,2005.0,2302.0,chlorine,0.71,0.71,0.71
